Date,Open,High,Low,Close,Volume,Adj Close*
9-Jan-15,"17,911.02","17,915.32","17,686.09","17,737.37","93,390,000","17,737.37"
8-Jan-15,"17,591.97","17,916.04","17,591.97","17,907.87","114,890,000","17,907.87"
7-Jan-15,"17,374.78","17,597.08","17,374.78","17,584.52","91,030,000","17,584.52"
6-Jan-15,"17,504.18","17,581.05","17,262.37","17,371.64","101,870,000","17,371.64"
5-Jan-15,"17,821.30","17,821.30","17,475.93","17,501.65","116,160,000","17,501.65"
2-Jan-15,"17,823.07","17,951.78","17,731.30","17,832.99","76,270,000","17,832.99"
31-Dec-14,"17,987.66","18,043.22","17,820.88","17,823.07","82,840,000","17,823.07"
30-Dec-14,"18,035.02","18,035.02","17,959.70","17,983.07","47,490,000","17,983.07"
29-Dec-14,"18,046.58","18,073.04","18,021.57","18,038.23","53,870,000","18,038.23"
26-Dec-14,"18,038.30","18,103.45","18,038.30","18,053.71","52,570,000","18,053.71"
24-Dec-14,"18,035.73","18,086.24","18,027.78","18,030.21","42,870,000","18,030.21"
23-Dec-14,"17,971.51","18,069.22","17,970.16","18,024.17","82,890,000","18,024.17"
22-Dec-14,"17,812.25","17,962.78","17,812.25","17,959.44","98,460,000","17,959.44"
19-Dec-14,"17,778.02","17,874.03","17,746.55","17,804.80","343,690,000","17,804.80"
18-Dec-14,"17,367.85","17,778.40","17,367.85","17,778.15","123,940,000","17,778.15"
17-Dec-14,"17,069.16","17,389.30","17,069.16","17,356.87","118,220,000","17,356.87"
16-Dec-14,"17,173.07","17,427.44","17,067.59","17,068.87","116,640,000","17,068.87"
15-Dec-14,"17,285.74","17,403.54","17,115.28","17,180.84","114,050,000","17,180.84"
12-Dec-14,"17,590.05","17,590.05","17,280.83","17,280.83","121,950,000","17,280.83"
11-Dec-14,"17,534.30","17,758.51","17,534.30","17,596.34","90,100,000","17,596.34"
10-Dec-14,"17,797.99","17,797.99","17,508.10","17,533.15","115,100,000","17,533.15"
9-Dec-14,"17,847.37","17,847.37","17,629.57","17,801.20","100,400,000","17,801.20"
8-Dec-14,"17,954.94","17,960.56","17,804.28","17,852.48","88,681,100","17,852.48"
5-Dec-14,"17,903.05","17,991.19","17,903.05","17,958.79","79,110,000","17,958.79"
4-Dec-14,"17,910.02","17,937.96","17,814.81","17,900.10","76,270,000","17,900.10"
3-Dec-14,"17,880.90","17,924.15","17,855.59","17,912.62","99,400,000","17,912.62"
2-Dec-14,"17,778.85","17,897.05","17,778.85","17,879.55","81,970,000","17,879.55"
1-Dec-14,"17,827.27","17,827.27","17,726.55","17,776.80","86,390,000","17,776.80"
28-Nov-14,"17,830.55","17,893.42","17,807.78","17,828.24","80,470,000","17,828.24"
26-Nov-14,"17,812.25","17,833.76","17,791.16","17,827.75","67,450,000","17,827.75"
25-Nov-14,"17,819.05","17,854.73","17,790.89","17,814.94","88,190,000","17,814.94"
24-Nov-14,"17,812.63","17,855.27","17,793.19","17,817.90","85,510,000","17,817.90"
21-Nov-14,"17,721.02","17,894.83","17,721.02","17,810.06","140,940,000","17,810.06"
20-Nov-14,"17,677.32","17,720.44","17,603.89","17,719.00","77,740,000","17,719.00"
19-Nov-14,"17,685.51","17,712.26","17,624.50","17,685.73","73,780,000","17,685.73"
18-Nov-14,"17,643.09","17,735.71","17,642.03","17,687.82","87,420,000","17,687.82"
17-Nov-14,"17,631.85","17,675.07","17,606.81","17,647.75","70,330,000","17,647.75"
14-Nov-14,"17,653.11","17,664.15","17,613.20","17,634.74","72,850,000","17,634.74"
13-Nov-14,"17,618.69","17,705.48","17,583.88","17,652.79","80,540,000","17,652.79"
12-Nov-14,"17,604.75","17,626.71","17,536.17","17,612.20","75,980,000","17,612.20"
11-Nov-14,"17,615.64","17,638.21","17,584.94","17,614.90","52,880,000","17,614.90"
10-Nov-14,"17,568.98","17,621.87","17,547.51","17,613.74","71,430,000","17,613.74"
7-Nov-14,"17,558.58","17,575.33","17,493.37","17,573.93","82,860,000","17,573.93"
6-Nov-14,"17,491.66","17,560.31","17,440.35","17,554.47","70,670,000","17,554.47"
5-Nov-14,"17,385.76","17,486.59","17,385.76","17,484.53","76,030,000","17,484.53"
4-Nov-14,"17,368.81","17,397.23","17,278.36","17,383.84","81,390,000","17,383.84"
3-Nov-14,"17,390.90","17,410.65","17,339.85","17,366.24","80,030,000","17,366.24"
31-Oct-14,"17,208.78","17,395.54","17,208.78","17,390.52","121,610,000","17,390.52"
30-Oct-14,"16,968.14","17,223.96","16,920.76","17,195.42","80,180,000","17,195.42"
29-Oct-14,"17,005.07","17,065.50","16,895.38","16,974.31","76,450,000","16,974.31"
28-Oct-14,"16,825.19","17,006.45","16,825.19","17,005.75","83,870,000","17,005.75"
27-Oct-14,"16,796.10","16,836.98","16,729.83","16,817.94","72,580,000","16,817.94"
24-Oct-14,"16,677.04","16,811.71","16,649.72","16,805.41","90,400,000","16,805.41"
23-Oct-14,"16,468.07","16,767.52","16,468.07","16,677.90","99,420,000","16,677.90"
22-Oct-14,"16,615.26","16,653.89","16,459.85","16,461.32","92,050,000","16,461.32"
21-Oct-14,"16,406.03","16,620.78","16,405.77","16,614.81","105,110,000","16,614.81"
20-Oct-14,"16,373.15","16,401.63","16,260.54","16,399.67","94,320,000","16,399.67"
17-Oct-14,"16,118.39","16,427.38","16,118.39","16,380.41","137,910,000","16,380.41"
16-Oct-14,"16,137.14","16,211.12","15,935.22","16,117.24","131,670,000","16,117.24"
15-Oct-14,"16,313.30","16,313.30","15,855.12","16,141.74","160,380,000","16,141.74"
14-Oct-14,"16,321.90","16,463.67","16,273.64","16,315.19","110,410,000","16,315.19"
13-Oct-14,"16,535.43","16,602.41","16,310.47","16,321.07","107,830,000","16,321.07"
10-Oct-14,"16,654.88","16,757.60","16,543.91","16,544.10","136,370,000","16,544.10"
9-Oct-14,"16,989.37","16,989.37","16,649.04","16,659.25","93,210,000","16,659.25"
8-Oct-14,"16,718.65","17,006.91","16,663.26","16,994.22","106,930,000","16,994.22"
7-Oct-14,"16,988.25","16,988.25","16,715.79","16,719.39","79,420,000","16,719.39"
6-Oct-14,"17,010.34","17,099.39","16,930.38","16,991.91","655,450,000","16,991.91"
3-Oct-14,"16,802.20","17,027.84","16,802.20","17,009.69","87,940,000","17,009.69"
2-Oct-14,"16,808.27","16,857.25","16,674.04","16,801.05","75,490,000","16,801.05"
1-Oct-14,"17,040.46","17,041.16","16,776.13","16,804.71","104,240,000","16,804.71"
30-Sep-14,"17,070.45","17,145.10","17,017.11","17,042.90","102,290,000","17,042.90"
29-Sep-14,"17,107.69","17,107.69","16,934.43","17,071.22","70,220,000","17,071.22"
26-Sep-14,"16,948.62","17,148.15","16,948.11","17,113.15","74,670,000","17,113.15"
25-Sep-14,"17,204.86","17,204.86","16,945.80","16,945.80","93,520,000","16,945.80"
24-Sep-14,"17,056.64","17,226.60","17,033.93","17,210.06","80,530,000","17,210.06"
23-Sep-14,"17,165.91","17,171.88","17,055.87","17,055.87","77,090,000","17,055.87"
22-Sep-14,"17,271.71","17,277.88","17,159.36","17,172.68","74,300,000","17,172.68"
19-Sep-14,"17,267.21","17,350.64","17,257.46","17,279.74","349,620,000","17,279.74"
18-Sep-14,"17,163.73","17,275.37","17,163.73","17,265.99","85,300,000","17,265.99"
17-Sep-14,"17,131.01","17,221.11","17,089.01","17,156.85","87,810,000","17,156.85"
16-Sep-14,"17,027.16","17,167.05","16,985.55","17,131.97","73,200,000","17,131.97"
15-Sep-14,"16,988.76","17,051.85","16,951.38","17,031.14","71,740,000","17,031.14"
12-Sep-14,"17,044.05","17,044.05","16,937.67","16,987.51","82,820,000","16,987.51"
11-Sep-14,"17,057.41","17,057.41","16,983.88","17,049.00","63,650,000","17,049.00"
10-Sep-14,"17,016.05","17,080.27","16,974.57","17,068.71","76,780,000","17,068.71"
9-Sep-14,"17,110.39","17,111.55","16,993.29","17,013.87","69,030,000","17,013.87"
8-Sep-14,"17,131.71","17,137.88","17,079.17","17,111.42","65,640,000","17,111.42"
5-Sep-14,"17,065.89","17,137.36","17,009.62","17,137.36","76,630,000","17,137.36"
4-Sep-14,"17,083.61","17,161.55","17,030.12","17,069.58","68,120,000","17,069.58"
3-Sep-14,"17,067.24","17,151.89","17,060.21","17,078.28","62,770,000","17,078.28"
2-Sep-14,"17,097.42","17,113.51","17,009.07","17,067.56","64,820,000","17,067.56"
29-Aug-14,"17,083.42","17,110.42","17,035.38","17,098.45","81,500,000","17,098.45"
28-Aug-14,"17,119.06","17,119.06","17,018.33","17,079.57","51,860,000","17,079.57"
27-Aug-14,"17,111.03","17,134.60","17,090.61","17,122.01","61,690,000","17,122.01"
26-Aug-14,"17,079.57","17,153.80","17,079.57","17,106.70","50,710,000","17,106.70"
25-Aug-14,"17,011.81","17,124.74","17,011.81","17,076.87","57,400,000","17,076.87"
22-Aug-14,"17,038.27","17,064.28","16,984.52","17,001.22","64,330,000","17,001.22"
21-Aug-14,"16,983.88","17,074.59","16,983.88","17,039.49","65,160,000","17,039.49"
20-Aug-14,"16,910.03","16,994.89","16,896.55","16,979.13","61,960,000","16,979.13"
19-Aug-14,"16,839.06","16,929.13","16,839.06","16,919.59","67,220,000","16,919.59"
18-Aug-14,"16,664.45","16,840.28","16,664.45","16,838.74","75,670,000","16,838.74"
15-Aug-14,"16,717.01","16,775.27","16,575.42","16,662.91","109,180,000","16,662.91"
14-Aug-14,"16,657.32","16,714.22","16,651.67","16,713.58","62,370,000","16,713.58"
13-Aug-14,"16,567.54","16,670.29","16,567.54","16,651.80","66,020,000","16,651.80"
12-Aug-14,"16,565.55","16,589.31","16,518.06","16,560.54","62,770,000","16,560.54"
11-Aug-14,"16,557.27","16,627.99","16,557.27","16,569.98","65,558,600","16,569.98"
8-Aug-14,"16,369.68","16,556.59","16,364.22","16,553.93","82,420,000","16,553.93"
7-Aug-14,"16,448.29","16,504.35","16,333.78","16,368.27","80,430,000","16,368.27"
6-Aug-14,"16,425.10","16,490.70","16,372.32","16,443.34","78,600,000","16,443.34"
5-Aug-14,"16,559.97","16,559.97","16,369.55","16,429.47","76,630,000","16,429.47"
4-Aug-14,"16,493.72","16,596.22","16,447.20","16,569.28","76,260,000","16,569.28"
1-Aug-14,"16,561.70","16,584.75","16,437.07","16,493.37","84,860,000","16,493.37"
31-Jul-14,"16,869.63","16,869.63","16,563.30","16,563.30","101,670,000","16,563.30"
30-Jul-14,"16,920.11","16,983.94","16,817.16","16,880.36","77,750,000","16,880.36"
29-Jul-14,"16,984.33","17,056.46","16,912.11","16,912.11","75,980,000","16,912.11"
28-Jul-14,"16,956.91","17,001.38","16,877.72","16,982.59","66,190,000","16,982.59"
25-Jul-14,"17,079.50","17,082.33","16,915.65","16,960.57","67,290,000","16,960.57"
24-Jul-14,"17,092.02","17,119.83","17,061.07","17,083.80","66,390,000","17,083.80"
23-Jul-14,"17,117.01","17,121.05","17,058.05","17,086.63","73,440,000","17,086.63"
22-Jul-14,"17,054.97","17,133.43","17,040.13","17,113.54","77,960,000","17,113.54"
21-Jul-14,"17,095.11","17,095.11","16,974.34","17,051.73","67,590,000","17,051.73"
18-Jul-14,"16,978.16","17,113.51","16,977.52","17,100.18","112,530,000","17,100.18"
17-Jul-14,"17,133.45","17,151.56","16,966.19","16,976.81","99,240,000","16,976.81"
16-Jul-14,"17,061.91","17,139.35","17,061.91","17,138.20","111,500,000","17,138.20"
15-Jul-14,"17,055.03","17,120.34","17,006.39","17,060.68","101,730,000","17,060.68"
14-Jul-14,"16,950.93","17,088.43","16,950.93","17,055.42","60,570,000","17,055.42"
11-Jul-14,"16,918.31","16,949.46","16,860.30","16,943.81","61,000,000","16,943.81"
10-Jul-14,"16,980.35","16,980.35","16,805.38","16,915.07","67,510,000","16,915.07"
9-Jul-14,"16,916.83","16,998.95","16,913.81","16,985.61","67,120,000","16,985.61"
8-Jul-14,"17,022.09","17,022.09","16,874.79","16,906.62","75,250,000","16,906.62"
7-Jul-14,"17,063.83","17,063.83","16,992.45","17,024.21","61,480,000","17,024.21"
3-Jul-14,"16,979.00","17,074.65","16,979.00","17,068.26","66,800,000","17,068.26"
2-Jul-14,"16,949.71","16,986.63","16,949.71","16,976.24","57,840,000","16,976.24"
1-Jul-14,"16,828.53","16,998.70","16,828.53","16,956.07","74,050,000","16,956.07"
30-Jun-14,"16,852.49","16,871.27","16,801.94","16,826.60","90,360,000","16,826.60"
27-Jun-14,"16,846.90","16,862.73","16,773.84","16,851.84","137,690,000","16,851.84"
26-Jun-14,"16,866.81","16,872.52","16,746.09","16,846.13","63,650,000","16,846.13"
